,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.823261,0.836105,0.835217,0.826715,0.817465
recall,0.745868,0.727273,0.725207,0.709711,0.696281
precision,0.918575,0.98324,0.984572,0.989914,0.989721
